a  Lycodapus_extensus
a  Pycnocraspedum_squamipinne  Alcock_1889
a  Saccogaster_maculata  Alcock_1889
a  Sauromuraenesox_vorax  Alcock_1889
a  Scorpaenodes_muciparus  Alcock_1889
a  Stomias_nebulosus  Alcock_1889
a  Symphurus_gilesii  Alcock_1889
a  Symphurus_woodmasoni  Alcock_1889
a  Amblyotrypauchen_arctocephalus  Alcock_1890
a  Aseraggodes_cyaneus  Alcock_1890
a  Aulastomatomorpha_phospherops  Alcock_1890
a  Bassozetus_glutinosus  Alcock_1890
a  Bathytroctes_squamosus  Alcock_1890
a  Benthosema_pterotum  Alcock_1890
a  Bolinichthys_pyrsobolus  Alcock_1890
a  Bothus_pellucida  Alcock_1890
a  Brotulina_piger  Alcock_1890
a  Callionymus_carebares  Alcock_1890
a  Chelidoperca_investigatoris  Alcock_1890
a  Coryphaenoides_hextii  Alcock_1890
a  Coryphaenoides_hoskynii  Alcock_1890
a  Coryphaenoides_woodmasoni  Alcock_1890
a  Crossorhombus_valderostratus  Alcock_1890
a  Dicrolene_vaillanti  Alcock_1890
a  Holcomycteronus_pterotus  Alcock_1890
a  Laeops_guentheri  Alcock_1890
a  Lepidotrigla_longipinnis  Alcock_1890
a  Minous_coccineus  Alcock_1890
a  Narcetes_erimelas  Alcock_1890
a  Obliquogobius_cometes  Alcock_1890
a  Porogadus_trichiurus  Alcock_1890
a  Promyllantor_purpureus  Alcock_1890
a  Psenopsis_cyanea  Alcock_1890
a  Psettina_brevirictis  Alcock_1890
a  Scopelengys_tristis  Alcock_1890
a  Tauredophidium_hextii  Alcock_1890
a  Trichonotus_cyclograptus  Alcock_1890
a  Uranoscopus_crassiceps  Alcock_1890
a  Zebrias_altipinnis  Alcock_1890
a  Alepocephalus_bicolor  Alcock_1891
a  Ateleopus_indicus  Alcock_1891
a  Bathyclupea_hoskynii  Alcock_1891
a  Caelorinchus_quadricristatus  Alcock_1891
a  Dicrolene_nigricaudis  Alcock_1891
a  Dysomma_muciparus  Alcock_1891
a  Halicmetus_ruber  Alcock_1891
a  Halieutaea_nigra  Alcock_1891
a  Halieutopsis_micropa  Alcock_1891
a  Halieutopsis_nasuta  Alcock_1891
a  Lamprogrammus_niger  Alcock_1891
a  Malthopsis_lutea  Alcock_1891
a  Physiculus_roseus  Alcock_1891
a  Porogadus_melanocephalus  Alcock_1891
a  Symphurus_septemstriatus  Alcock_1891
a  Ventrifossa_petersonii  Alcock_1891
a  Alepocephalus_blanfordii  Alcock_1892
a  Bathypterois_insularum  Alcock_1892
a  Chauliodus_pammelas  Alcock_1892
a  Einara_edentula  Alcock_1892
a  Hephthocara_simum  Alcock_1892
a  Lamprogrammus_fragilis  Alcock_1892
a  Rouleina_guentheri  Alcock_1892
a  Aseraggodes_umbratilis  Alcock_1894
a  Bathycongrus_macrocercus  Alcock_1894
